	transportmean_name	line_number	order_number	stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	stop_url	location_type	parent_station	stop_timezone	wheelchair_boarding	metro_linked	ml_linked	cr_linked	accesible	parking
95	METRO	12	12_4	par_4_212	212	Parque Oeste	Calle de Estambul 5	40.345906189699605	-3.8492442693442004	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_212.aspx	0	est_4_212		2	No	No	No	Yes	No
96	METRO	12	12_17	par_4_225	225	Alonso de Mendoza	Calle del Greco 6	40.300822633681996	-3.73654366004624	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_225.aspx	0	est_4_225		2	No	No	No	Yes	No
97	METRO	12	12_14	par_4_222	222	Parque de los Estados	Calle de Venezuela 2	40.286851402181	-3.7868839242759003	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_222.aspx	0	est_4_222		2	No	No	No	Yes	No
98	METRO	12	12_28	par_4_236	236	San Nicasio	Avda   Mar Mediterráneo SN	40.3361700242714	-3.7757780176708597	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_236.aspx	0	est_4_236		2	No	No	No	Yes	No
99	METRO	2	2_3	par_4_323	323	Alsacia	Plaza de Alsacia S/N	40.4182989182866	-3.62341766913486		http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_323.aspx	0	est_4_323		0	No	No	No	Yes	No
100	METRO	2	2_18	par_4_40	40	Quevedo	Gta de Quevedo 1	40.433231082150606	-3.7042443778034904	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_40.aspx	0	est_4_40		0	No	No	No	No	No
101	METRO	2	2_16	par_4_38	38	Noviciado	Calle de San Bernardo 49	40.424851977439204	-3.7073280117182406	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_38.aspx	0	est_4_50		0	3/10	No	No	No	No
102	METRO	2	2_5	par_4_260	260	La Elipa	Avda del Marqués de Corbera 58	40.4266275173066	-3.6504314554157595	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_260.aspx	0	est_4_260		2	No	No	No	Yes	No
103	METRO	2	2_6	par_4_28	28	Ventas	Calle de Alcalá 204	40.430895154450795	-3.66357049769178	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_28.aspx	0	est_4_28		0	5	No	No	No	No
104	METRO	2	2_17	par_4_39	39	San Bernardo	Calle de San Bernardo 94	40.4300253572277	-3.705484161975	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_39.aspx	0	est_4_39		0	4	No	No	No	No
105	METRO	2	2_7	par_4_29	29	Manuel Becerra	Plaza de Manuel Becerra 1	40.4279169891656	-3.66916447729711	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_29.aspx	0	est_4_29		0	6	No	No	No	No
106	METRO	2	2_19	par_4_41	41	Canal	Calle de Bravo Murillo 40	40.4384202442553	-3.7042395710271605	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_41.aspx	0	est_4_41		2	7	No	No	Yes	No
107	METRO	2	2_15	par_4_37	37	Santo Domingo	Calle de San Bernardo 11	40.4213261767705	-3.70786867317035	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_37.aspx	0	est_4_37		0	No	No	No	No	No
108	METRO	2	2_14	par_4_36	36	Ópera	Plaza de Isabel II 9	40.418101019271795	-3.70933182480635	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_36.aspx	0	est_4_36		0	5/R	No	No	Yes	No
109	METRO	2	2_9	par_4_31	31	Príncipe de Vergara	Calle de Alcalá 123	40.422952720309894	-3.6800308920272897	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_31.aspx	0	est_4_31		0	9	No	No	No	No
110	METRO	2	2_10	par_4_32	32	Retiro	Calle de Alcalá 81	40.420312938167	-3.68615736017576	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_32.aspx	0	est_4_32		0	No	No	No	No	No
