Date,Open,High,Low,Close,Adj Close,Volume
2012-01-31,2268.080078,2451.860107,2268.080078,2428.489990,2428.489990,0
2012-02-29,2426.110107,2460.689941,2252.159912,2262.790039,2262.790039,0
2012-03-31,2302.239990,2406.860107,2285.780029,2396.320068,2396.320068,0
2012-04-30,2438.439941,2452.010010,2333.550049,2372.229980,2372.229980,0
2012-05-31,2373.439941,2373.439941,2195.840088,2225.429932,2225.429932,0
2012-06-30,2226.110107,2229.189941,2103.629883,2103.629883,2103.629883,0
2012-07-31,2123.360107,2174.100098,2047.520020,2047.520020,2047.520020,0
2012-08-31,2059.149902,2134.889893,2004.170044,2086.169922,2086.169922,0
2012-09-30,2074.419922,2132.760010,2058.939941,2068.879883,2068.879883,0
2012-10-31,2104.429932,2117.050049,1963.489990,1980.119995,1980.119995,0
2012-11-30,1959.770020,2269.129883,1959.770020,2269.129883,2269.129883,0
2012-12-31,2276.989990,2385.419922,2243.000000,2385.419922,2385.419922,0
2013-01-31,2419.020020,2434.479980,2293.340088,2365.590088,2365.590088,0
2013-02-28,2359.510010,2359.510010,2236.300049,2236.620117,2236.620117,0
2013-03-31,2234.399902,2244.639893,2177.909912,2177.909912,2177.909912,0
2013-04-30,2174.120117,2324.020020,2174.120117,2300.590088,2300.590088,0
2013-05-31,2299.250000,2299.250000,1950.010010,1979.209961,1979.209961,0
2013-06-30,1995.239990,2072.989990,1958.270020,1993.800049,1993.800049,0
2013-07-31,2029.069946,2106.159912,2029.069946,2098.379883,2098.379883,0
2013-08-31,2098.449951,2255.600098,2098.449951,2174.669922,2174.669922,0
2013-09-30,2198.199951,2237.770020,2128.860107,2141.610107,2141.610107,0
2013-10-31,2149.560059,2220.500000,2087.939941,2220.500000,2220.500000,0
2013-11-30,2207.370117,2251.760010,2073.100098,2115.979980,2115.979980,0
2013-12-31,2109.389893,2109.389893,1991.250000,2033.079956,2033.079956,0
2014-01-31,2044.500000,2142.550049,2034.219971,2056.300049,2056.300049,0
2014-02-28,2075.239990,2075.239990,1993.479980,2033.310059,2033.310059,0
2014-03-31,2047.459961,2134.300049,2003.489990,2026.359985,2026.359985,0
2014-04-30,2027.349976,2052.870117,2005.180054,2039.209961,2039.209961,0
2014-05-31,2038.310059,2085.979980,2023.729980,2048.330078,2048.330078,0
2014-06-30,2050.379883,2201.560059,2038.339966,2201.560059,2201.560059,0
2014-07-31,2185.300049,2245.330078,2185.300049,2217.199951,2217.199951,0
2014-08-31,2235.510010,2363.870117,2235.510010,2363.870117,2363.870117,0
2014-09-30,2382.790039,2420.179932,2290.439941,2420.179932,2420.179932,0
2014-10-31,2430.030029,2682.830078,2418.169922,2682.830078,2682.830078,0
2014-11-30,2680.159912,3234.679932,2680.159912,3234.679932,3234.679932,0
2014-12-31,3350.520020,3383.179932,3116.350098,3210.360107,3210.360107,0
2015-01-31,3128.300049,3310.300049,3075.909912,3310.300049,3310.300049,0
2015-02-28,3336.280029,3786.570068,3241.189941,3747.899902,3747.899902,0
2015-03-31,3810.290039,4527.399902,3810.290039,4441.649902,4441.649902,0
2015-04-30,4480.459961,4941.709961,4112.209961,4611.740234,4611.740234,0
2015-05-31,4828.740234,5166.350098,4053.030029,4277.220215,4277.220215,0
2015-06-30,4053.699951,4123.919922,3507.189941,3663.729980,3663.729980,0
2015-07-31,3622.909912,3993.669922,2927.290039,3205.989990,3205.989990,0
2015-08-31,3166.620117,3243.090088,3005.169922,3052.780029,3052.780029,0
2015-09-30,3143.360107,3434.340088,3143.360107,3382.560059,3382.560059,0
2015-10-31,3325.080078,3650.250000,3316.699951,3445.399902,3445.399902,0
2015-11-30,3456.310059,3651.770020,3434.580078,3539.179932,3539.179932,0
2015-12-31,3734.070068,3734.070068,2655.659912,2737.600098,2737.600098,0
2016-01-31,2688.850098,2928.899902,2687.979980,2687.979980,2687.979980,0
2016-02-29,2733.169922,3018.800049,2733.169922,3003.919922,3003.919922,0
2016-03-31,3009.530029,3082.360107,2938.320068,2938.320068,2938.320068,0
2016-04-30,2992.639893,2997.840088,2806.909912,2916.620117,2916.620117,0
2016-05-31,2913.510010,2938.679932,2833.070068,2929.610107,2929.610107,0
2016-06-30,2932.479980,3060.689941,2932.479980,2979.340088,2979.340088,0
2016-07-31,2953.389893,3125.199951,2953.389893,3085.489990,3085.489990,0
2016-08-31,3063.310059,3095.949951,2980.429932,3004.699951,3004.699951,0
2016-09-30,3048.139893,3131.939941,3048.139893,3100.489990,3100.489990,0
2016-10-31,3122.439941,3282.919922,3102.729980,3250.030029,3250.030029,0
2016-11-30,3273.310059,3273.310059,3096.100098,3103.639893,3103.639893,0
